RANK 0: imaxLocal : 100, jmaxLocal : 100
Parameters:
Geometry data:
	Domain box size (x, y): 1.000000e+00, 1.000000e+00
	Cells (x, y): 100, 100
Iterative solver parameters:
	Max iterations: 1000000
	epsilon (stopping tolerance) : 1.000000e-06
	omega (SOR relaxation): 1.900000e+00
663 Residuum: 1.286753e-01
664 Residuum: 1.267811e-01
665 Residuum: 1.249147e-01
666 Residuum: 1.230757e-01
667 Residuum: 1.212639e-01
668 Residuum: 1.194786e-01
669 Residuum: 1.177197e-01
670 Residuum: 1.159867e-01
671 Residuum: 1.142791e-01
672 Residuum: 1.125967e-01
673 Residuum: 1.109391e-01
674 Residuum: 1.093058e-01
675 Residuum: 1.076966e-01
676 Residuum: 1.061110e-01
677 Residuum: 1.045488e-01
678 Residuum: 1.030096e-01
679 Residuum: 1.014930e-01
680 Residuum: 9.999881e-02
681 Residuum: 9.852656e-02
682 Residuum: 9.707598e-02
683 Residuum: 9.564675e-02
684 Residuum: 9.423855e-02
685 Residuum: 9.285108e-02
686 Residuum: 9.148403e-02
687 Residuum: 9.013710e-02
688 Residuum: 8.881000e-02
689 Residuum: 8.750243e-02
690 Residuum: 8.621410e-02
691 Residuum: 8.494474e-02
692 Residuum: 8.369406e-02
693 Residuum: 8.246179e-02
694 Residuum: 8.124766e-02
695 Residuum: 8.005140e-02
696 Residuum: 7.887274e-02
697 Residuum: 7.771144e-02
698 Residuum: 7.656722e-02
699 Residuum: 7.543985e-02
700 Residuum: 7.432908e-02
701 Residuum: 7.323465e-02
702 Residuum: 7.215634e-02
703 Residuum: 7.109390e-02
704 Residuum: 7.004709e-02
705 Residuum: 6.901570e-02
706 Residuum: 6.799949e-02
707 Residuum: 6.699823e-02
708 Residuum: 6.601172e-02
709 Residuum: 6.503972e-02
710 Residuum: 6.408204e-02
711 Residuum: 6.313845e-02
712 Residuum: 6.220876e-02
713 Residuum: 6.129274e-02
714 Residuum: 6.039022e-02
715 Residuum: 5.950098e-02
716 Residuum: 5.862483e-02
717 Residuum: 5.776157e-02
718 Residuum: 5.691103e-02
719 Residuum: 5.607301e-02
720 Residuum: 5.524732e-02
721 Residuum: 5.443379e-02
722 Residuum: 5.363223e-02
723 Residuum: 5.284248e-02
724 Residuum: 5.206435e-02
725 Residuum: 5.129768e-02
726 Residuum: 5.054229e-02
727 Residuum: 4.979803e-02
728 Residuum: 4.906472e-02
729 Residuum: 4.834220e-02
730 Residuum: 4.763033e-02
731 Residuum: 4.692893e-02
732 Residuum: 4.623786e-02
733 Residuum: 4.555697e-02
734 Residuum: 4.488610e-02
735 Residuum: 4.422511e-02
736 Residuum: 4.357384e-02
737 Residuum: 4.293217e-02
738 Residuum: 4.229994e-02
739 Residuum: 4.167702e-02
740 Residuum: 4.106328e-02
741 Residuum: 4.045856e-02
742 Residuum: 3.986276e-02
743 Residuum: 3.927572e-02
744 Residuum: 3.869733e-02
